"years","school","position","career","name","year"
"1969–1971","Windham HS","assistant","Coaching","Stan Parrish",1971
"1972–1974","Windham HS","OH","Coaching","Stan Parrish",1972
"1972–1974","Windham HS","OH","Coaching","Stan Parrish",1973
"1972–1974","Windham HS","OH","Coaching","Stan Parrish",1974
"1975–1976","Purdue","GA","Coaching","Stan Parrish",1975
"1975–1976","Purdue","GA","Coaching","Stan Parrish",1976
"1977","Wabash","assistant","Coaching","Stan Parrish",1977
"1978–1982","Wabash","HC","Coaching","Stan Parrish",1978
"1978–1982","Wabash","HC","Coaching","Stan Parrish",1979
"1978–1982","Wabash","HC","Coaching","Stan Parrish",1980
"1978–1982","Wabash","HC","Coaching","Stan Parrish",1981
"1978–1982","Wabash","HC","Coaching","Stan Parrish",1982
"1983","Purdue","assistant","Coaching","Stan Parrish",1983
"1984–1985","Marshall","HC","Coaching","Stan Parrish",1984
"1984–1985","Marshall","HC","Coaching","Stan Parrish",1985
"1986–1988","Kansas State","HC","Coaching","Stan Parrish",1986
"1986–1988","Kansas State","HC","Coaching","Stan Parrish",1987
"1986–1988","Kansas State","HC","Coaching","Stan Parrish",1988
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1990
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1991
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1992
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1993
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1994
"1990–1995","Rutgers","assistant","Coaching","Stan Parrish",1995
"1996–1999","Michigan","QB","Coaching","Stan Parrish",1996
"1996–1999","Michigan","QB","Coaching","Stan Parrish",1997
"1996–1999","Michigan","QB","Coaching","Stan Parrish",1998
"1996–1999","Michigan","QB","Coaching","Stan Parrish",1999
"2000–2001","Michigan","OC/QB","Coaching","Stan Parrish",2000
"2000–2001","Michigan","OC/QB","Coaching","Stan Parrish",2001
"2002–2003","Tampa Bay Buccaneers","assistant","Coaching","Stan Parrish",2002
"2002–2003","Tampa Bay Buccaneers","assistant","Coaching","Stan Parrish",2003
"2005","Ball State","QB","Coaching","Stan Parrish",2005
"2006–2008","Ball State","OC","Coaching","Stan Parrish",2006
"2006–2008","Ball State","OC","Coaching","Stan Parrish",2007
"2006–2008","Ball State","OC","Coaching","Stan Parrish",2008
"2008–2010","Ball State","HC","Coaching","Stan Parrish",2008
"2008–2010","Ball State","HC","Coaching","Stan Parrish",2009
"2008–2010","Ball State","HC","Coaching","Stan Parrish",2010
"2011–2012","Siena Heights","QB","Coaching","Stan Parrish",2011
"2011–2012","Siena Heights","QB","Coaching","Stan Parrish",2012
"2013-2013","Eastern Michigan","Interim Head Coach/OC/QB","Coaching","Stan Parrish",2013
"1993","St. Francis De","HC","Coaching","Paul Haynes",1993
"1994","Sales HS","asst.","Coaching","Paul Haynes",1994
"1995–1996","Bowling Green","GA","Coaching","Paul Haynes",1995
"1995–1996","Bowling Green","GA","Coaching","Paul Haynes",1996
"1997","Ferris State","DB","Coaching","Paul Haynes",1997
"1998","Northern Iowa","RB","Coaching","Paul Haynes",1998
"1999–2000","Northern Iowa","CB","Coaching","Paul Haynes",1999
"1999–2000","Northern Iowa","CB","Coaching","Paul Haynes",2000
"2001","Kent State","secondary","Coaching","Paul Haynes",2001
"2002","Jacksonville Jaguars","DQC","Coaching","Paul Haynes",2002
"2003–2004","Louisville","DB","Coaching","Paul Haynes",2003
"2003–2004","Louisville","DB","Coaching","Paul Haynes",2004
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2005
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2006
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2007
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2008
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2009
"2005–2010","Michigan State","DB","Coaching","Paul Haynes",2010
"2011","Ohio State","DB","Coaching","Paul Haynes",2011
"2012","Ohio State","co-DC/safeties","Coaching","Paul Haynes",2012
"2013–2013","Arkansas","DC","Coaching","Paul Haynes",2013
"1993","Kent State","HC","Coaching","Paul Haynes",1993
"2004–2005","Miami","GA","Coaching","Mike Bath",2004
"2004–2005","Miami","GA","Coaching","Mike Bath",2005
"2006–2008","Miami","TE","Coaching","Mike Bath",2006
"2006–2008","Miami","TE","Coaching","Mike Bath",2007
"2006–2008","Miami","TE","Coaching","Mike Bath",2008
"2009–2010","Ashland","OC/QB/WR","Coaching","Mike Bath",2009
"2009–2010","Ashland","OC/QB/WR","Coaching","Mike Bath",2010
"2011","Miami","TE/WR","Coaching","Mike Bath",2011
"2012","Miami","QB","Coaching","Mike Bath",2012
"2013","Miami","QB/WR","Coaching","Mike Bath",2013
"2013","Miami","interim","Coaching","Mike Bath",2013
"1994–1997","Wayzata HS","assistant","Coaching","Rod Carey",1994
"1994–1997","Wayzata HS","assistant","Coaching","Rod Carey",1995
"1994–1997","Wayzata HS","assistant","Coaching","Rod Carey",1996
"1994–1997","Wayzata HS","assistant","Coaching","Rod Carey",1997
"1998–1999","Minnesota","GA","Coaching","Rod Carey",1998
"1998–1999","Minnesota","GA","Coaching","Rod Carey",1999
"2000–2003","Wisconsin–Stout","co-OC/OL","Coaching","Rod Carey",2000
"2000–2003","Wisconsin–Stout","co-OC/OL","Coaching","Rod Carey",2001
"2000–2003","Wisconsin–Stout","co-OC/OL","Coaching","Rod Carey",2002
"2000–2003","Wisconsin–Stout","co-OC/OL","Coaching","Rod Carey",2003
"2004–2006","Wisconsin–Stout","OC/OL","Coaching","Rod Carey",2004
"2004–2006","Wisconsin–Stout","OC/OL","Coaching","Rod Carey",2005
"2004–2006","Wisconsin–Stout","OC/OL","Coaching","Rod Carey",2006
"2007","Illinois State","OL","Coaching","Rod Carey",2007
"2008–2010","North Dakota","OL","Coaching","Rod Carey",2008
"2008–2010","North Dakota","OL","Coaching","Rod Carey",2009
"2008–2010","North Dakota","OL","Coaching","Rod Carey",2010
"2011","Northern Illinois","OL","Coaching","Rod Carey",2011
"2012","Northern Illinois","OC/OL","Coaching","Rod Carey",2012
"2012–2013","Northern Illinois","HC","Coaching","Rod Carey",2012
"2012–2013","Northern Illinois","HC","Coaching","Rod Carey",2013
"1966–1967","Holy Name HS","NE","Coaching","Frank Solich",1966
"1966–1967","Holy Name HS","NE","Coaching","Frank Solich",1967
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1968
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1969
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1970
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1971
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1972
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1973
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1974
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1975
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1976
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1977
"1968–1978","Lincoln Southeast HS","NE","Coaching","Frank Solich",1978
"1979–1982","Nebraska","freshman","Coaching","Frank Solich",1979
"1979–1982","Nebraska","freshman","Coaching","Frank Solich",1980
"1979–1982","Nebraska","freshman","Coaching","Frank Solich",1981
"1979–1982","Nebraska","freshman","Coaching","Frank Solich",1982
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1983
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1984
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1985
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1986
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1987
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1988
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1989
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1990
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1991
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1992
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1993
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1994
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1995
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1996
"1983–1997","Nebraska","RB","Coaching","Frank Solich",1997
"1998–2003","Nebraska","HC","Coaching","Frank Solich",1998
"1998–2003","Nebraska","HC","Coaching","Frank Solich",1999
"1998–2003","Nebraska","HC","Coaching","Frank Solich",2000
"1998–2003","Nebraska","HC","Coaching","Frank Solich",2001
"1998–2003","Nebraska","HC","Coaching","Frank Solich",2002
"1998–2003","Nebraska","HC","Coaching","Frank Solich",2003
"2005–2013","Ohio","HC","Coaching","Frank Solich",2005
"2005–2013","Ohio","HC","Coaching","Frank Solich",2006
"2005–2013","Ohio","HC","Coaching","Frank Solich",2007
"2005–2013","Ohio","HC","Coaching","Frank Solich",2008
"2005–2013","Ohio","HC","Coaching","Frank Solich",2009
"2005–2013","Ohio","HC","Coaching","Frank Solich",2010
"2005–2013","Ohio","HC","Coaching","Frank Solich",2011
"2005–2013","Ohio","HC","Coaching","Frank Solich",2012
"2005–2013","Ohio","HC","Coaching","Frank Solich",2013
"2006","Ohio State","GA","Coaching","P. J. Fleck",2006
"2007–2009","Northern Illinois","WR","Coaching","P. J. Fleck",2007
"2007–2009","Northern Illinois","WR","Coaching","P. J. Fleck",2008
"2007–2009","Northern Illinois","WR","Coaching","P. J. Fleck",2009
"2010–2011","Rutgers","WR","Coaching","P. J. Fleck",2010
"2010–2011","Rutgers","WR","Coaching","P. J. Fleck",2011
"2012","Northern Illinois","OC","Coaching","P. J. Fleck",2012
"2012","Tampa Bay Buccaneers","WR","Coaching","P. J. Fleck",2012
"2013–2013","Western Michigan","HC","Coaching","P. J. Fleck",2013
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1989
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1990
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1991
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1992
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1993
"1989–1994","Air Force","assistant","Coaching","Troy Calhoun",1994
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",1995
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",1996
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",1997
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",1998
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",1999
"1995–2000","Ohio","OC/QB","Coaching","Troy Calhoun",2000
"2001–2003","Wake Forest","OC/QB","Coaching","Troy Calhoun",2001
"2001–2003","Wake Forest","OC/QB","Coaching","Troy Calhoun",2002
"2001–2003","Wake Forest","OC/QB","Coaching","Troy Calhoun",2003
"2003–2005","Denver Broncos","assistant","Coaching","Troy Calhoun",2003
"2003–2005","Denver Broncos","assistant","Coaching","Troy Calhoun",2004
"2003–2005","Denver Broncos","assistant","Coaching","Troy Calhoun",2005
"2006","Houston Texans","OC","Coaching","Troy Calhoun",2006
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2007
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2008
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2009
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2010
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2011
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2012
"2007–2013","Air Force","HC","Coaching","Troy Calhoun",2013
"1987–1988","UC Davis","freshman","Coaching","Chris Petersen",1987
"1987–1988","UC Davis","freshman","Coaching","Chris Petersen",1988
"1989–1991","UC Davis","WR","Coaching","Chris Petersen",1989
"1989–1991","UC Davis","WR","Coaching","Chris Petersen",1990
"1989–1991","UC Davis","WR","Coaching","Chris Petersen",1991
"1992","Pittsburgh","QB","Coaching","Chris Petersen",1992
"1993–1994","Portland State","QB","Coaching","Chris Petersen",1993
"1993–1994","Portland State","QB","Coaching","Chris Petersen",1994
"1995–2000","Oregon","WR","Coaching","Chris Petersen",1995
"1995–2000","Oregon","WR","Coaching","Chris Petersen",1996
"1995–2000","Oregon","WR","Coaching","Chris Petersen",1997
"1995–2000","Oregon","WR","Coaching","Chris Petersen",1998
"1995–2000","Oregon","WR","Coaching","Chris Petersen",1999
"1995–2000","Oregon","WR","Coaching","Chris Petersen",2000
"2001–2005","Boise State","OC","Coaching","Chris Petersen",2001
"2001–2005","Boise State","OC","Coaching","Chris Petersen",2002
"2001–2005","Boise State","OC","Coaching","Chris Petersen",2003
"2001–2005","Boise State","OC","Coaching","Chris Petersen",2004
"2001–2005","Boise State","OC","Coaching","Chris Petersen",2005
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2006
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2007
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2008
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2009
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2010
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2011
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2012
"2006–2013","Boise State","HC","Coaching","Chris Petersen",2013
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1987
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1988
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1989
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1990
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1991
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1992
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1993
"1987–1994","Eastern Washington","QB/WR","Coaching","Jim McElwain",1994
"1995–1999","Montana State","OC","Coaching","Jim McElwain",1995
"1995–1999","Montana State","OC","Coaching","Jim McElwain",1996
"1995–1999","Montana State","OC","Coaching","Jim McElwain",1997
"1995–1999","Montana State","OC","Coaching","Jim McElwain",1998
"1995–1999","Montana State","OC","Coaching","Jim McElwain",1999
"2000–2002","Louisville","WR/ST","Coaching","Jim McElwain",2000
"2000–2002","Louisville","WR/ST","Coaching","Jim McElwain",2001
"2000–2002","Louisville","WR/ST","Coaching","Jim McElwain",2002
"2003–2005","Michigan State","assistant HC","Coaching","Jim McElwain",2003
"2003–2005","Michigan State","assistant HC","Coaching","Jim McElwain",2004
"2003–2005","Michigan State","assistant HC","Coaching","Jim McElwain",2005
"2006","Oakland Raiders","QB","Coaching","Jim McElwain",2006
"2007","Fresno State","OC","Coaching","Jim McElwain",2007
"2008–2011","Alabama","OC","Coaching","Jim McElwain",2008
"2008–2011","Alabama","OC","Coaching","Jim McElwain",2009
"2008–2011","Alabama","OC","Coaching","Jim McElwain",2010
"2008–2011","Alabama","OC","Coaching","Jim McElwain",2011
"2012–","Colorado State","HC","Coaching","Jim McElwain",2012
"1991–1994","Air Force","asst.","Coaching","Tim DeRuyter",1991
"1991–1994","Air Force","asst.","Coaching","Tim DeRuyter",1992
"1991–1994","Air Force","asst.","Coaching","Tim DeRuyter",1993
"1991–1994","Air Force","asst.","Coaching","Tim DeRuyter",1994
"1995–1998","Ohio","DC/Secondary","Coaching","Tim DeRuyter",1995
"1995–1998","Ohio","DC/Secondary","Coaching","Tim DeRuyter",1996
"1995–1998","Ohio","DC/Secondary","Coaching","Tim DeRuyter",1997
"1995–1998","Ohio","DC/Secondary","Coaching","Tim DeRuyter",1998
"1999–2001","Navy","Secondary","Coaching","Tim DeRuyter",1999
"1999–2001","Navy","Secondary","Coaching","Tim DeRuyter",2000
"1999–2001","Navy","Secondary","Coaching","Tim DeRuyter",2001
"2002–2004","Ohio","DC/Secondary","Coaching","Tim DeRuyter",2002
"2002–2004","Ohio","DC/Secondary","Coaching","Tim DeRuyter",2003
"2002–2004","Ohio","DC/Secondary","Coaching","Tim DeRuyter",2004
"2005–2006","Nevada","co-DC","Coaching","Tim DeRuyter",2005
"2005–2006","Nevada","co-DC","Coaching","Tim DeRuyter",2006
"2007–2009","Air Force","DC/Safeties","Coaching","Tim DeRuyter",2007
"2007–2009","Air Force","DC/Safeties","Coaching","Tim DeRuyter",2008
"2007–2009","Air Force","DC/Safeties","Coaching","Tim DeRuyter",2009
"2010–2011","Texas A&M","DC","Coaching","Tim DeRuyter",2010
"2010–2011","Texas A&M","DC","Coaching","Tim DeRuyter",2011
"2011","Texas A&M","Interim HC","Coaching","Tim DeRuyter",2011
"2012–2013","Fresno State","HC","Coaching","Tim DeRuyter",2012
"2012–2013","Fresno State","HC","Coaching","Tim DeRuyter",2013
"1973–1974","BYU","GA","Coaching","Norm Chow",1973
"1973–1974","BYU","GA","Coaching","Norm Chow",1974
"1975","BYU","freshmen","Coaching","Norm Chow",1975
"1976–1977","BYU","WR","Coaching","Norm Chow",1976
"1976–1977","BYU","WR","Coaching","Norm Chow",1977
"1978","BYU","RB","Coaching","Norm Chow",1978
"1979–1985","BYU","WR","Coaching","Norm Chow",1979
"1979–1985","BYU","WR","Coaching","Norm Chow",1980
"1979–1985","BYU","WR","Coaching","Norm Chow",1981
"1979–1985","BYU","WR","Coaching","Norm Chow",1982
"1979–1985","BYU","WR","Coaching","Norm Chow",1983
"1979–1985","BYU","WR","Coaching","Norm Chow",1984
"1979–1985","BYU","WR","Coaching","Norm Chow",1985
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1986
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1987
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1988
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1989
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1990
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1991
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1992
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1993
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1994
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1995
"1986–1996","BYU","QB/WR","Coaching","Norm Chow",1996
"1996–1999","BYU","OC/QB/WR","Coaching","Norm Chow",1996
"1996–1999","BYU","OC/QB/WR","Coaching","Norm Chow",1997
"1996–1999","BYU","OC/QB/WR","Coaching","Norm Chow",1998
"1996–1999","BYU","OC/QB/WR","Coaching","Norm Chow",1999
"2000","NC State","OC","Coaching","Norm Chow",2000
"2001–2004","USC","OC","Coaching","Norm Chow",2001
"2001–2004","USC","OC","Coaching","Norm Chow",2002
"2001–2004","USC","OC","Coaching","Norm Chow",2003
"2001–2004","USC","OC","Coaching","Norm Chow",2004
"2005–2007","Tennessee Titans","OC","Coaching","Norm Chow",2005
"2005–2007","Tennessee Titans","OC","Coaching","Norm Chow",2006
"2005–2007","Tennessee Titans","OC","Coaching","Norm Chow",2007
"2008–2010","UCLA","OC","Coaching","Norm Chow",2008
"2008–2010","UCLA","OC","Coaching","Norm Chow",2009
"2008–2010","UCLA","OC","Coaching","Norm Chow",2010
"2011","Utah","OC","Coaching","Norm Chow",2011
"2012–2013","Hawaii","HC","Coaching","Norm Chow",2012
"2012–2013","Hawaii","HC","Coaching","Norm Chow",2013
"1997","Michigan State","GA","Coaching","Brian Polian",1997
"1998","Buffalo","TE/AOL","Coaching","Brian Polian",1998
"1999–2000","Baylor","GA","Coaching","Brian Polian",1999
"1999–2000","Baylor","GA","Coaching","Brian Polian",2000
"2001–2003","Buffalo","RB/ST","Coaching","Brian Polian",2001
"2001–2003","Buffalo","RB/ST","Coaching","Brian Polian",2002
"2001–2003","Buffalo","RB/ST","Coaching","Brian Polian",2003
"2004","Central Florida","RB","Coaching","Brian Polian",2004
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2004
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2005
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2006
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2007
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2008
"2004–2009","Notre Dame","ST","Coaching","Brian Polian",2009
"2010–2011","Stanford","ST","Coaching","Brian Polian",2010
"2010–2011","Stanford","ST","Coaching","Brian Polian",2011
"2012","Texas A&M","ST","Coaching","Brian Polian",2012
"2013–","Nevada","HC","Coaching","Brian Polian",2013
"1977","Pittsburgh","GA","Coaching","Bob Davie",1977
"1978–1979","Arizona","LB","Coaching","Bob Davie",1978
"1978–1979","Arizona","LB","Coaching","Bob Davie",1979
"1980–1982","Pittsburgh","LB","Coaching","Bob Davie",1980
"1980–1982","Pittsburgh","LB","Coaching","Bob Davie",1981
"1980–1982","Pittsburgh","LB","Coaching","Bob Davie",1982
"1983–1984","Tulane","DC","Coaching","Bob Davie",1983
"1983–1984","Tulane","DC","Coaching","Bob Davie",1984
"1985–1988","Texas A&M","LB","Coaching","Bob Davie",1985
"1985–1988","Texas A&M","LB","Coaching","Bob Davie",1986
"1985–1988","Texas A&M","LB","Coaching","Bob Davie",1987
"1985–1988","Texas A&M","LB","Coaching","Bob Davie",1988
"1989–1993","Texas A&M","DC","Coaching","Bob Davie",1989
"1989–1993","Texas A&M","DC","Coaching","Bob Davie",1990
"1989–1993","Texas A&M","DC","Coaching","Bob Davie",1991
"1989–1993","Texas A&M","DC","Coaching","Bob Davie",1992
"1989–1993","Texas A&M","DC","Coaching","Bob Davie",1993
"1994–1996","Notre Dame","DC","Coaching","Bob Davie",1994
"1994–1996","Notre Dame","DC","Coaching","Bob Davie",1995
"1994–1996","Notre Dame","DC","Coaching","Bob Davie",1996
"1997–2001","Notre Dame","HC","Coaching","Bob Davie",1997
"1997–2001","Notre Dame","HC","Coaching","Bob Davie",1998
"1997–2001","Notre Dame","HC","Coaching","Bob Davie",1999
"1997–2001","Notre Dame","HC","Coaching","Bob Davie",2000
"1997–2001","Notre Dame","HC","Coaching","Bob Davie",2001
"2012–2013","New Mexico","HC","Coaching","Bob Davie",2012
"2012–2013","New Mexico","HC","Coaching","Bob Davie",2013
"1972–1973","New Mexico","GA","Coaching","Rocky Long",1972
"1972–1973","New Mexico","GA","Coaching","Rocky Long",1973
"1974–1975","Eldorado HS","NM","Coaching","Rocky Long",1974
"1974–1975","Eldorado HS","NM","Coaching","Rocky Long",1975
"1978","New Mexico","offensive backfield","Coaching","Rocky Long",1978
"1979–1980","New Mexico","DB","Coaching","Rocky Long",1979
"1979–1980","New Mexico","DB","Coaching","Rocky Long",1980
"1981–1985","Wyoming","DC","Coaching","Rocky Long",1981
"1981–1985","Wyoming","DC","Coaching","Rocky Long",1982
"1981–1985","Wyoming","DC","Coaching","Rocky Long",1983
"1981–1985","Wyoming","DC","Coaching","Rocky Long",1984
"1981–1985","Wyoming","DC","Coaching","Rocky Long",1985
"1986–1987","BC Lions","LB","Coaching","Rocky Long",1986
"1986–1987","BC Lions","LB","Coaching","Rocky Long",1987
"1988–1990","TCU","DB","Coaching","Rocky Long",1988
"1988–1990","TCU","DB","Coaching","Rocky Long",1989
"1988–1990","TCU","DB","Coaching","Rocky Long",1990
"1991–1995","Oregon State","DC","Coaching","Rocky Long",1991
"1991–1995","Oregon State","DC","Coaching","Rocky Long",1992
"1991–1995","Oregon State","DC","Coaching","Rocky Long",1993
"1991–1995","Oregon State","DC","Coaching","Rocky Long",1994
"1991–1995","Oregon State","DC","Coaching","Rocky Long",1995
"1996–1997","UCLA","DC","Coaching","Rocky Long",1996
"1996–1997","UCLA","DC","Coaching","Rocky Long",1997
"1998–2008","New Mexico","HC","Coaching","Rocky Long",1998
"1998–2008","New Mexico","HC","Coaching","Rocky Long",1999
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2000
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2001
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2002
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2003
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2004
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2005
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2006
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2007
"1998–2008","New Mexico","HC","Coaching","Rocky Long",2008
"2009–2010","San Diego State","DC","Coaching","Rocky Long",2009
"2009–2010","San Diego State","DC","Coaching","Rocky Long",2010
"2011–2013","San Diego State","HC","Coaching","Rocky Long",2011
"2011–2013","San Diego State","HC","Coaching","Rocky Long",2012
"2011–2013","San Diego State","HC","Coaching","Rocky Long",2013
"1994–1995","UCLA","GA","Coaching","Ron Caragher",1994
"1994–1995","UCLA","GA","Coaching","Ron Caragher",1995
"1996–2002","UCLA","WR","Coaching","Ron Caragher",1996
"1996–2002","UCLA","WR","Coaching","Ron Caragher",1997
"1996–2002","UCLA","WR","Coaching","Ron Caragher",1998
"1996–2002","UCLA","WR","Coaching","Ron Caragher",1999
"1996–2002","UCLA","WR","Coaching","Ron Caragher",2000
"1996–2002","UCLA","WR","Coaching","Ron Caragher",2001
"1996–2002","UCLA","WR","Coaching","Ron Caragher",2002
"2003–2006","Kentucky","RB","Coaching","Ron Caragher",2003
"2003–2006","Kentucky","RB","Coaching","Ron Caragher",2004
"2003–2006","Kentucky","RB","Coaching","Ron Caragher",2005
"2003–2006","Kentucky","RB","Coaching","Ron Caragher",2006
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2007
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2008
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2009
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2010
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2011
"2007–2012","San Diego","HC","Coaching","Ron Caragher",2012
"2013–2013","San Jose State","HC","Coaching","Ron Caragher",2013
"1997–2000","Navy","assistant","Coaching","Matt Wells",1997
"1997–2000","Navy","assistant","Coaching","Matt Wells",1998
"1997–2000","Navy","assistant","Coaching","Matt Wells",1999
"1997–2000","Navy","assistant","Coaching","Matt Wells",2000
"2001","Navy","WR","Coaching","Matt Wells",2001
"2002–2006","Tulsa","TE","Coaching","Matt Wells",2002
"2002–2006","Tulsa","TE","Coaching","Matt Wells",2003
"2002–2006","Tulsa","TE","Coaching","Matt Wells",2004
"2002–2006","Tulsa","TE","Coaching","Matt Wells",2005
"2002–2006","Tulsa","TE","Coaching","Matt Wells",2006
"2007–2008","New Mexico","WR/RC","Coaching","Matt Wells",2007
"2007–2008","New Mexico","WR/RC","Coaching","Matt Wells",2008
"2009","Louisville","QB/PGC","Coaching","Matt Wells",2009
"2010","New Mexico","WR","Coaching","Matt Wells",2010
"2011","Utah State","QB","Coaching","Matt Wells",2011
"2012","Utah State","OC/QB","Coaching","Matt Wells",2012
"2013–2013","Utah State","HC","Coaching","Matt Wells",2013
"1983","Western Washington","RB","Coaching","Dave Christensen",1983
"1984","Sehome H.S.","OL/DL","Coaching","Dave Christensen",1984
"1985","Everett H.S.","OL/DL","Coaching","Dave Christensen",1985
"1986–1987","Spokane Falls C.C.Washington","OL","Coaching","Dave Christensen",1986
"1986–1987","Spokane Falls C.C.Washington","OL","Coaching","Dave Christensen",1987
"1988","Idaho State","OL/TE/RB","Coaching","Dave Christensen",1988
"1989–1990","Toledo","OL","Coaching","Dave Christensen",1989
"1989–1990","Toledo","OL","Coaching","Dave Christensen",1990
"1990–1991","Toledo","OC","Coaching","Dave Christensen",1990
"1990–1991","Toledo","OC","Coaching","Dave Christensen",1991
"1992–1996","Missouri","OC","Coaching","Dave Christensen",1992
"1992–1996","Missouri","OC","Coaching","Dave Christensen",1993
"1992–1996","Missouri","OC","Coaching","Dave Christensen",1994
"1992–1996","Missouri","OC","Coaching","Dave Christensen",1995
"1992–1996","Missouri","OC","Coaching","Dave Christensen",1996
